=======================================================================
       P_300 BULK PATTERN EXTRACTION -- PIPELINE A-BULK
=======================================================================

Scans data\bulk\ for unprocessed *_Pattern_*.xlsx exports and writes
detections to models\research\bulk_research.db. Never touches the
live catalog or Pipeline A/B. Checkpoint-resumable -- safe to
interrupt and re-run.

[STEP 1] Running bulk-extract...

2026-07-09 17:48:40,044 | WARNING | application.bulk_extract_pipeline | sector_map.csv not found at C:\Users\Trader\AI-Agent-Learning-Hub\projects\P_300_Vantage_Point_Pattern_Recognition\data\reference\sector_map.csv -- all symbols get sector=None
2026-07-09 17:48:40,045 | INFO | application.bulk_extract_pipeline | bulk extraction: 45 files total, 15 pending (30 already complete)
2026-07-09 17:48:40,046 | INFO | infrastructure.bulk_grid_reader | Parsing bulk file 10_Pattern_AMZN.xlsx
2026-07-09 17:48:40,046 | INFO | infrastructure.bulk_grid_reader | Loading bulk manifest: C:\Users\Trader\AI-Agent-Learning-Hub\projects\P_300_Vantage_Point_Pattern_Recognition\parameters\bulk_ingest_manifest.json
2026-07-09 17:48:40,352 | INFO | infrastructure.bulk_grid_reader | Parsed 2512 bars from 10_Pattern_AMZN.xlsx
2026-07-09 17:48:40,406 | INFO | application.bulk_extract_pipeline | 10_Pattern_AMZN.xlsx: 29 raw hits -> 29 after spacing
2026-07-09 17:48:40,411 | INFO | infrastructure.research_catalog_io | research_catalog_checkout: {'symbols': 30, 'source_files': 30, 'feature_sets': 1, 'pattern_instances': 725, 'pattern_bars': 14500, 'pattern_features': 0, 'forward_labels': 3625}
2026-07-09 17:48:40,423 | INFO | infrastructure.research_catalog_io | Promoted temp -> research master. master=C:\Users\Trader\AI-Agent-Learning-Hub\projects\P_300_Vantage_Point_Pattern_Recognition\models\research\bulk_research.db backup=C:\Users\Trader\AI-Agent-Learning-Hub\projects\P_300_Vantage_Point_Pattern_Recognition\models\research\bulk_research.db.bak
2026-07-09 17:48:40,426 | INFO | infrastructure.research_catalog_io | research_catalog_checkout: {'symbols': 31, 'source_files': 31, 'feature_sets': 1, 'pattern_instances': 726, 'pattern_bars': 14520, 'pattern_features': 0, 'forward_labels': 3630}
2026-07-09 17:48:40,435 | INFO | infrastructure.research_catalog_io | Promoted temp -> research master. master=C:\Users\Trader\AI-Agent-Learning-Hub\projects\P_300_Vantage_Point_Pattern_Recognition\models\research\bulk_research.db backup=C:\Users\Trader\AI-Agent-Learning-Hub\projects\P_300_Vantage_Point_Pattern_Recognition\models\research\bulk_research.db.bak
2026-07-09 17:48:40,437 | INFO | infrastructure.research_catalog_io | research_catalog_checkout: {'symbols': 31, 'source_files': 31, 'feature_sets': 1, 'pattern_instances': 727, 'pattern_bars': 14540, 'pattern_features': 0, 'forward_labels': 3635}
