=======================================================================
       P_300 BULK PATTERN EXTRACTION -- PIPELINE A-BULK
=======================================================================

Scans data\bulk\ for unprocessed *_Pattern_*.xlsx exports and writes
detections to models\research\bulk_research.db. Never touches the
live catalog or Pipeline A/B. Checkpoint-resumable -- safe to
interrupt and re-run.

[STEP 1] Running bulk-extract...

2026-07-09 18:24:16,967 | WARNING | application.bulk_extract_pipeline | sector_map.csv not found at C:\Users\Trader\AI-Agent-Learning-Hub\projects\P_300_Vantage_Point_Pattern_Recognition\data\reference\sector_map.csv -- all symbols get sector=None
2026-07-09 18:24:16,969 | INFO | application.bulk_extract_pipeline | bulk extraction: 56 files total, 11 pending (45 already complete)
2026-07-09 18:24:16,969 | INFO | infrastructure.bulk_grid_reader | Parsing bulk file 10_Pattern_CLX.xlsx
2026-07-09 18:24:16,969 | INFO | infrastructure.bulk_grid_reader | Loading bulk manifest: C:\Users\Trader\AI-Agent-Learning-Hub\projects\P_300_Vantage_Point_Pattern_Recognition\parameters\bulk_ingest_manifest.json
2026-07-09 18:24:17,275 | INFO | infrastructure.bulk_grid_reader | Parsed 2513 bars from 10_Pattern_CLX.xlsx
2026-07-09 18:24:17,332 | INFO | application.bulk_extract_pipeline | 10_Pattern_CLX.xlsx: 24 raw hits -> 24 after spacing
2026-07-09 18:24:17,337 | INFO | infrastructure.research_catalog_io | research_catalog_checkout: {'symbols': 45, 'source_files': 45, 'feature_sets': 1, 'pattern_instances': 1121, 'pattern_bars': 22420, 'pattern_features': 0, 'forward_labels': 5605}
2026-07-09 18:24:17,350 | INFO | infrastructure.research_catalog_io | Promoted temp -> research master. master=C:\Users\Trader\AI-Agent-Learning-Hub\projects\P_300_Vantage_Point_Pattern_Recognition\models\research\bulk_research.db backup=C:\Users\Trader\AI-Agent-Learning-Hub\projects\P_300_Vantage_Point_Pattern_Recognition\models\research\bulk_research.db.bak
2026-07-09 18:24:17,354 | INFO | infrastructure.research_catalog_io | research_catalog_checkout: {'symbols': 46, 'source_files': 46, 'feature_sets': 1, 'pattern_instances': 1122, 'pattern_bars': 22440, 'pattern_features': 0, 'forward_labels': 5610}
2026-07-09 18:24:17,365 | INFO | infrastructure.research_catalog_io | Promoted temp -> research master. master=C:\Users\Trader\AI-Agent-Learning-Hub\projects\P_300_Vantage_Point_Pattern_Recognition\models\research\bulk_research.db backup=C:\Users\Trader\AI-Agent-Learning-Hub\projects\P_300_Vantage_Point_Pattern_Recognition\models\research\bulk_research.db.bak
2026-07-09 18:24:17,368 | INFO | infrastructure.research_catalog_io | research_catalog_checkout: {'symbols': 46, 'source_files': 46, 'feature_sets': 1, 'pattern_instances': 1123, 'pattern_bars': 22460, 'pattern_features': 0, 'forward_labels': 5615}
2026-07-09 18:24:17,378 | INFO | infrastructure.research_catalog_io | Promoted temp -> research master. master=C:\Users\Trader\AI-Agent-Learning-Hub\projects\P_300_Vantage_Point_Pattern_Recognition\models\research\bulk_research.db backup=C:\Users\Trader\AI-Agent-Learning-Hub\projects\P_300_Vantage_Point_Pattern_Recognition\models\research\bulk_research.db.bak
2026-07-09 18:24:17,382 | INFO | infrastructure.research_catalog_io | research_catalog_checkout: {'symbols': 46, 'source_files': 46, 'feature_sets': 1, 'pattern_instances': 1124, 'pattern_bars': 22480, 'pattern_features': 0, 'forward_labels': 5620}
2026-07-09 18:24:17,393 | INFO | infrastructure.research_catalog_io | Promoted temp -> research master. master=C:\Users\Trader\AI-Agent-Learning-Hub\projects\P_300_Vantage_Point_Pattern_Recognition\models\research\bulk_research.db backup=C:\Users\Trader\AI-Agent-Learning-Hub\projects\P_300_Vantage_Point_Pattern_Recognition\models\research\bulk_research.db.bak
2026-07-09 18:24:17,397 | INFO | infrastructure.research_catalog_io | research_catalog_checkout: {'symbols': 46, 'source_files': 46, 'feature_sets': 1, 'pattern_instances': 1125, 'pattern_bars': 22500, 'pattern_features': 0, 'forward_labels': 5625}
2026-07-09 18:24:17,407 | INFO | infrastructure.research_catalog_io | Promoted temp -> research master. master=C:\Users\Trader\AI-Agent-Learning-Hub\projects\P_300_Vantage_Point_Pattern_Recognition\models\research\bulk_research.db backup=C:\Users\Trader\AI-Agent-Learning-Hub\projects\P_300_Vantage_Point_Pattern_Recognition\models\research\bulk_research.db.bak
2026-07-09 18:24:17,411 | INFO | infrastructure.research_catalog_io | research_catalog_checkout: {'symbols': 46, 'source_files': 46, 'feature_sets': 1, 'pattern_instances': 1126, 'pattern_bars': 22520, 'pattern_features': 0, 'forward_labels': 5630}
2026-07-09 18:24:17,421 | INFO | infrastructure.research_catalog_io | Promoted temp -> research master. master=C:\Users\Trader\AI-Agent-Learning-Hub\projects\P_300_Vantage_Point_Pattern_Recognition\models\research\bulk_research.db backup=C:\Users\Trader\AI-Agent-Learning-Hub\projects\P_300_Vantage_Point_Pattern_Recognition\models\research\bulk_research.db.bak
2026-07-09 18:24:17,426 | INFO | infrastructure.research_catalog_io | research_catalog_checkout: {'symbols': 46, 'source_files': 46, 'feature_sets': 1, 'pattern_instances': 1127, 'pattern_bars': 22540, 'pattern_features': 0, 'forward_labels': 5635}
2026-07-09 18:24:17,436 | INFO | infrastructure.research_catalog_io | Promoted temp -> research master. master=C:\Users\Trader\AI-Agent-Learning-Hub\projects\P_300_Vantage_Point_Pattern_Recognition\models\research\bulk_research.db backup=C:\Users\Trader\AI-Agent-Learning-Hub\projects\P_300_Vantage_Point_Pattern_Recognition\models\research\bulk_research.db.bak
2026-07-09 18:24:17,439 | INFO | infrastructure.research_catalog_io | research_catalog_checkout: {'symbols': 46, 'source_files': 46, 'feature_sets': 1, 'pattern_instances': 1128, 'pattern_bars': 22560, 'pattern_features': 0, 'forward_labels': 5640}
2026-07-09 18:24:17,454 | INFO | infrastructure.research_catalog_io | Promoted temp -> research master. master=C:\Users\Trader\AI-Agent-Learning-Hub\projects\P_300_Vantage_Point_Pattern_Recognition\models\research\bulk_research.db backup=C:\Users\Trader\AI-Agent-Learning-Hub\projects\P_300_Vantage_Point_Pattern_Recognition\models\research\bulk_research.db.bak
2026-07-09 18:24:17,458 | INFO | infrastructure.research_catalog_io | research_catalog_checkout: {'symbols': 46, 'source_files': 46, 'feature_sets': 1, 'pattern_instances': 1129, 'pattern_bars': 22580, 'pattern_features': 0, 'forward_labels': 5645}
2026-07-09 18:24:17,471 | INFO | infrastructure.research_catalog_io | Promoted temp -> research master. master=C:\Users\Trader\AI-Agent-Learning-Hub\projects\P_300_Vantage_Point_Pattern_Recognition\models\research\bulk_research.db backup=C:\Users\Trader\AI-Agent-Learning-Hub\projects\P_300_Vantage_Point_Pattern_Recognition\models\research\bulk_research.db.bak
2026-07-09 18:24:17,475 | INFO | infrastructure.research_catalog_io | research_catalog_checkout: {'symbols': 46, 'source_files': 46, 'feature_sets': 1, 'pattern_instances': 1130, 'pattern_bars': 22600, 'pattern_features': 0, 'forward_labels': 5650}
2026-07-09 18:24:17,486 | INFO | infrastructure.research_catalog_io | Promoted temp -> research master. master=C:\Users\Trader\AI-Agent-Learning-Hub\projects\P_300_Vantage_Point_Pattern_Recognition\models\research\bulk_research.db backup=C:\Users\Trader\AI-Agent-Learning-Hub\projects\P_300_Vantage_Point_Pattern_Recognition\models\research\bulk_research.db.bak
2026-07-09 18:24:17,489 | INFO | infrastructure.research_catalog_io | research_catalog_checkout: {'symbols': 46, 'source_files': 46, 'feature_sets': 1, 'pattern_instances': 1131, 'pattern_bars': 22620, 'pattern_features': 0, 'forward_labels': 5655}
2026-07-09 18:24:17,504 | INFO | infrastructure.research_catalog_io | Promoted temp -> research master. master=C:\Users\Trader\AI-Agent-Learning-Hub\projects\P_300_Vantage_Point_Pattern_Recognition\models\research\bulk_research.db backup=C:\Users\Trader\AI-Agent-Learning-Hub\projects\P_300_Vantage_Point_Pattern_Recognition\models\research\bulk_research.db.bak
2026-07-09 18:24:17,507 | INFO | infrastructure.research_catalog_io | research_catalog_checkout: {'symbols': 46, 'source_files': 46, 'feature_sets': 1, 'pattern_instances': 1132, 'pattern_bars': 22640, 'pattern_features': 0, 'forward_labels': 5660}
2026-07-09 18:24:17,521 | INFO | infrastructure.research_catalog_io | Promoted temp -> research master. master=C:\Users\Trader\AI-Agent-Learning-Hub\projects\P_300_Vantage_Point_Pattern_Recognition\models\research\bulk_research.db backup=C:\Users\Trader\AI-Agent-Learning-Hub\projects\P_300_Vantage_Point_Pattern_Recognition\models\research\bulk_research.db.bak
2026-07-09 18:24:17,525 | INFO | infrastructure.research_catalog_io | research_catalog_checkout: {'symbols': 46, 'source_files': 46, 'feature_sets': 1, 'pattern_instances': 1133, 'pattern_bars': 22660, 'pattern_features': 0, 'forward_labels': 5665}
2026-07-09 18:24:17,535 | INFO | infrastructure.research_catalog_io | Promoted temp -> research master. master=C:\Users\Trader\AI-Agent-Learning-Hub\projects\P_300_Vantage_Point_Pattern_Recognition\models\research\bulk_research.db backup=C:\Users\Trader\AI-Agent-Learning-Hub\projects\P_300_Vantage_Point_Pattern_Recognition\models\research\bulk_research.db.bak
2026-07-09 18:24:17,539 | INFO | infrastructure.research_catalog_io | research_catalog_checkout: {'symbols': 46, 'source_files': 46, 'feature_sets': 1, 'pattern_instances': 1134, 'pattern_bars': 22680, 'pattern_features': 0, 'forward_labels': 5670}
2026-07-09 18:24:17,548 | INFO | infrastructure.research_catalog_io | Promoted temp -> research master. master=C:\Users\Trader\AI-Agent-Learning-Hub\projects\P_300_Vantage_Point_Pattern_Recognition\models\research\bulk_research.db backup=C:\Users\Trader\AI-Agent-Learning-Hub\projects\P_300_Vantage_Point_Pattern_Recognition\models\research\bulk_research.db.bak
2026-07-09 18:24:17,553 | INFO | infrastructure.research_catalog_io | research_catalog_checkout: {'symbols': 46, 'source_files': 46, 'feature_sets': 1, 'pattern_instances': 1135, 'pattern_bars': 22700, 'pattern_features': 0, 'forward_labels': 5675}
2026-07-09 18:24:17,563 | INFO | infrastructure.research_catalog_io | Promoted temp -> research master. master=C:\Users\Trader\AI-Agent-Learning-Hub\projects\P_300_Vantage_Point_Pattern_Recognition\models\research\bulk_research.db backup=C:\Users\Trader\AI-Agent-Learning-Hub\projects\P_300_Vantage_Point_Pattern_Recognition\models\research\bulk_research.db.bak
2026-07-09 18:24:17,567 | INFO | infrastructure.research_catalog_io | research_catalog_checkout: {'symbols': 46, 'source_files': 46, 'feature_sets': 1, 'pattern_instances': 1136, 'pattern_bars': 22720, 'pattern_features': 0, 'forward_labels': 5680}
2026-07-09 18:24:17,576 | INFO | infrastructure.research_catalog_io | Promoted temp -> research master. master=C:\Users\Trader\AI-Agent-Learning-Hub\projects\P_300_Vantage_Point_Pattern_Recognition\models\research\bulk_research.db backup=C:\Users\Trader\AI-Agent-Learning-Hub\projects\P_300_Vantage_Point_Pattern_Recognition\models\research\bulk_research.db.bak
2026-07-09 18:24:17,581 | INFO | infrastructure.research_catalog_io | research_catalog_checkout: {'symbols': 46, 'source_files': 46, 'feature_sets': 1, 'pattern_instances': 1137, 'pattern_bars': 22740, 'pattern_features': 0, 'forward_labels': 5685}
2026-07-09 18:24:17,591 | INFO | infrastructure.research_catalog_io | Promoted temp -> research master. master=C:\Users\Trader\AI-Agent-Learning-Hub\projects\P_300_Vantage_Point_Pattern_Recognition\models\research\bulk_research.db backup=C:\Users\Trader\AI-Agent-Learning-Hub\projects\P_300_Vantage_Point_Pattern_Recognition\models\research\bulk_research.db.bak
2026-07-09 18:24:17,595 | INFO | infrastructure.research_catalog_io | research_catalog_checkout: {'symbols': 46, 'source_files': 46, 'feature_sets': 1, 'pattern_instances': 1138, 'pattern_bars': 22760, 'pattern_features': 0, 'forward_labels': 5690}
