=======================================================================
       P_300 BULK PATTERN EXTRACTION -- PIPELINE A-BULK
=======================================================================

Scans data\bulk\ for unprocessed *_Pattern_*.xlsx exports and writes
detections to models\research\bulk_research.db. Never touches the
live catalog or Pipeline A/B. Checkpoint-resumable -- safe to
interrupt and re-run.

[STEP 1] Running bulk-extract...

2026-07-09 18:32:58,649 | WARNING | application.bulk_extract_pipeline | sector_map.csv not found at C:\Users\Trader\AI-Agent-Learning-Hub\projects\P_300_Vantage_Point_Pattern_Recognition\data\reference\sector_map.csv -- all symbols get sector=None
2026-07-09 18:32:58,650 | INFO | application.bulk_extract_pipeline | bulk extraction: 60 files total, 4 pending (56 already complete)
2026-07-09 18:32:58,651 | INFO | infrastructure.bulk_grid_reader | Parsing bulk file 10_Pattern_CL.xlsx
2026-07-09 18:32:58,651 | INFO | infrastructure.bulk_grid_reader | Loading bulk manifest: C:\Users\Trader\AI-Agent-Learning-Hub\projects\P_300_Vantage_Point_Pattern_Recognition\parameters\bulk_ingest_manifest.json
2026-07-09 18:32:58,994 | INFO | infrastructure.bulk_grid_reader | Parsed 2513 bars from 10_Pattern_CL.xlsx
2026-07-09 18:32:59,049 | INFO | application.bulk_extract_pipeline | 10_Pattern_CL.xlsx: 20 raw hits -> 20 after spacing
2026-07-09 18:32:59,055 | INFO | infrastructure.research_catalog_io | research_catalog_checkout: {'symbols': 56, 'source_files': 56, 'feature_sets': 1, 'pattern_instances': 1378, 'pattern_bars': 27560, 'pattern_features': 0, 'forward_labels': 6890}
2026-07-09 18:32:59,069 | INFO | infrastructure.research_catalog_io | Promoted temp -> research master. master=C:\Users\Trader\AI-Agent-Learning-Hub\projects\P_300_Vantage_Point_Pattern_Recognition\models\research\bulk_research.db backup=C:\Users\Trader\AI-Agent-Learning-Hub\projects\P_300_Vantage_Point_Pattern_Recognition\models\research\bulk_research.db.bak
2026-07-09 18:32:59,076 | INFO | infrastructure.research_catalog_io | research_catalog_checkout: {'symbols': 57, 'source_files': 57, 'feature_sets': 1, 'pattern_instances': 1379, 'pattern_bars': 27580, 'pattern_features': 0, 'forward_labels': 6895}
2026-07-09 18:32:59,087 | INFO | infrastructure.research_catalog_io | Promoted temp -> research master. master=C:\Users\Trader\AI-Agent-Learning-Hub\projects\P_300_Vantage_Point_Pattern_Recognition\models\research\bulk_research.db backup=C:\Users\Trader\AI-Agent-Learning-Hub\projects\P_300_Vantage_Point_Pattern_Recognition\models\research\bulk_research.db.bak
2026-07-09 18:32:59,091 | INFO | infrastructure.research_catalog_io | research_catalog_checkout: {'symbols': 57, 'source_files': 57, 'feature_sets': 1, 'pattern_instances': 1380, 'pattern_bars': 27600, 'pattern_features': 0, 'forward_labels': 6900}
