=======================================================================
       P_300 BULK PATTERN EXTRACTION -- PIPELINE A-BULK
=======================================================================

Scans data\bulk\ for unprocessed *_Pattern_*.xlsx exports and writes
detections to models\research\bulk_research.db. Never touches the
live catalog or Pipeline A/B. Checkpoint-resumable -- safe to
interrupt and re-run.

[STEP 1] Running bulk-extract...

2026-07-10 09:04:14,945 | WARNING | application.bulk_extract_pipeline | sector_map.csv not found at C:\Users\Trader\AI-Agent-Learning-Hub\projects\P_300_Vantage_Point_Pattern_Recognition\data\reference\sector_map.csv -- all symbols get sector=None
2026-07-10 09:04:14,946 | INFO | application.bulk_extract_pipeline | bulk extraction: 7 files total, 7 pending (0 already complete)
2026-07-10 09:04:14,947 | INFO | infrastructure.bulk_grid_reader | Parsing bulk file 10_Pattern_BURL.xlsx
2026-07-10 09:04:14,947 | INFO | infrastructure.bulk_grid_reader | Loading bulk manifest: C:\Users\Trader\AI-Agent-Learning-Hub\projects\P_300_Vantage_Point_Pattern_Recognition\parameters\bulk_ingest_manifest.json
2026-07-10 09:04:15,458 | INFO | infrastructure.bulk_grid_reader | Parsed 2513 bars from 10_Pattern_BURL.xlsx
2026-07-10 09:04:15,548 | INFO | application.bulk_extract_pipeline | 10_Pattern_BURL.xlsx: 24 raw hits -> 24 after spacing
2026-07-10 09:04:15,560 | INFO | infrastructure.research_catalog_io | research_catalog_checkout: {'symbols': 60, 'source_files': 60, 'feature_sets': 1, 'pattern_instances': 1476, 'pattern_bars': 29520, 'pattern_features': 0, 'forward_labels': 7380}
2026-07-10 09:04:15,580 | INFO | infrastructure.research_catalog_io | Promoted temp -> research master. master=C:\Users\Trader\AI-Agent-Learning-Hub\projects\P_300_Vantage_Point_Pattern_Recognition\models\research\bulk_research.db backup=C:\Users\Trader\AI-Agent-Learning-Hub\projects\P_300_Vantage_Point_Pattern_Recognition\models\research\bulk_research.db.bak
2026-07-10 09:04:15,588 | INFO | infrastructure.research_catalog_io | research_catalog_checkout: {'symbols': 61, 'source_files': 61, 'feature_sets': 1, 'pattern_instances': 1477, 'pattern_bars': 29540, 'pattern_features': 0, 'forward_labels': 7385}
2026-07-10 09:04:15,607 | INFO | infrastructure.research_catalog_io | Promoted temp -> research master. master=C:\Users\Trader\AI-Agent-Learning-Hub\projects\P_300_Vantage_Point_Pattern_Recognition\models\research\bulk_research.db backup=C:\Users\Trader\AI-Agent-Learning-Hub\projects\P_300_Vantage_Point_Pattern_Recognition\models\research\bulk_research.db.bak
2026-07-10 09:04:15,615 | INFO | infrastructure.research_catalog_io | research_catalog_checkout: {'symbols': 61, 'source_files': 61, 'feature_sets': 1, 'pattern_instances': 1478, 'pattern_bars': 29560, 'pattern_features': 0, 'forward_labels': 7390}
