=======================================================================
       P_300 BULK PATTERN EXTRACTION -- PIPELINE A-BULK
=======================================================================

Scans data\bulk\ for unprocessed *_Pattern_*.xlsx exports and writes
detections to models\research\bulk_research.db. Never touches the
live catalog or Pipeline A/B. Checkpoint-resumable -- safe to
interrupt and re-run.

[STEP 1] Running bulk-extract...

2026-07-10 12:45:27,459 | WARNING | application.bulk_extract_pipeline | sector_map.csv not found at C:\Users\Trader\AI-Agent-Learning-Hub\projects\P_300_Vantage_Point_Pattern_Recognition\data\reference\sector_map.csv -- all symbols get sector=None
2026-07-10 12:45:27,461 | INFO | application.bulk_extract_pipeline | bulk extraction: 66 files total, 45 pending (21 already complete)
2026-07-10 12:45:27,461 | INFO | infrastructure.bulk_grid_reader | Parsing bulk file 10_Pattern_ADBE.xlsx
2026-07-10 12:45:27,461 | INFO | infrastructure.bulk_grid_reader | Loading bulk manifest: C:\Users\Trader\AI-Agent-Learning-Hub\projects\P_300_Vantage_Point_Pattern_Recognition\parameters\bulk_ingest_manifest.json
2026-07-10 12:45:27,777 | INFO | infrastructure.bulk_grid_reader | Parsed 2513 bars from 10_Pattern_ADBE.xlsx
2026-07-10 12:45:27,834 | INFO | application.bulk_extract_pipeline | 10_Pattern_ADBE.xlsx: 24 raw hits -> 24 after spacing
2026-07-10 12:45:27,841 | INFO | infrastructure.research_catalog_io | research_catalog_checkout: {'symbols': 81, 'source_files': 81, 'feature_sets': 1, 'pattern_instances': 2021, 'pattern_bars': 40420, 'pattern_features': 0, 'forward_labels': 10105}
2026-07-10 12:45:27,857 | INFO | infrastructure.research_catalog_io | Promoted temp -> research master. master=C:\Users\Trader\AI-Agent-Learning-Hub\projects\P_300_Vantage_Point_Pattern_Recognition\models\research\bulk_research.db backup=C:\Users\Trader\AI-Agent-Learning-Hub\projects\P_300_Vantage_Point_Pattern_Recognition\models\research\bulk_research.db.bak
2026-07-10 12:45:27,863 | INFO | infrastructure.research_catalog_io | research_catalog_checkout: {'symbols': 82, 'source_files': 82, 'feature_sets': 1, 'pattern_instances': 2022, 'pattern_bars': 40440, 'pattern_features': 0, 'forward_labels': 10110}
2026-07-10 12:45:27,877 | INFO | infrastructure.research_catalog_io | Promoted temp -> research master. master=C:\Users\Trader\AI-Agent-Learning-Hub\projects\P_300_Vantage_Point_Pattern_Recognition\models\research\bulk_research.db backup=C:\Users\Trader\AI-Agent-Learning-Hub\projects\P_300_Vantage_Point_Pattern_Recognition\models\research\bulk_research.db.bak
2026-07-10 12:45:27,882 | INFO | infrastructure.research_catalog_io | research_catalog_checkout: {'symbols': 82, 'source_files': 82, 'feature_sets': 1, 'pattern_instances': 2023, 'pattern_bars': 40460, 'pattern_features': 0, 'forward_labels': 10115}
2026-07-10 12:45:27,899 | INFO | infrastructure.research_catalog_io | Promoted temp -> research master. master=C:\Users\Trader\AI-Agent-Learning-Hub\projects\P_300_Vantage_Point_Pattern_Recognition\models\research\bulk_research.db backup=C:\Users\Trader\AI-Agent-Learning-Hub\projects\P_300_Vantage_Point_Pattern_Recognition\models\research\bulk_research.db.bak
2026-07-10 12:45:27,904 | INFO | infrastructure.research_catalog_io | research_catalog_checkout: {'symbols': 82, 'source_files': 82, 'feature_sets': 1, 'pattern_instances': 2024, 'pattern_bars': 40480, 'pattern_features': 0, 'forward_labels': 10120}
2026-07-10 12:45:27,917 | INFO | infrastructure.research_catalog_io | Promoted temp -> research master. master=C:\Users\Trader\AI-Agent-Learning-Hub\projects\P_300_Vantage_Point_Pattern_Recognition\models\research\bulk_research.db backup=C:\Users\Trader\AI-Agent-Learning-Hub\projects\P_300_Vantage_Point_Pattern_Recognition\models\research\bulk_research.db.bak
2026-07-10 12:45:27,922 | INFO | infrastructure.research_catalog_io | research_catalog_checkout: {'symbols': 82, 'source_files': 82, 'feature_sets': 1, 'pattern_instances': 2025, 'pattern_bars': 40500, 'pattern_features': 0, 'forward_labels': 10125}
2026-07-10 12:45:27,936 | INFO | infrastructure.research_catalog_io | Promoted temp -> research master. master=C:\Users\Trader\AI-Agent-Learning-Hub\projects\P_300_Vantage_Point_Pattern_Recognition\models\research\bulk_research.db backup=C:\Users\Trader\AI-Agent-Learning-Hub\projects\P_300_Vantage_Point_Pattern_Recognition\models\research\bulk_research.db.bak
2026-07-10 12:45:27,942 | INFO | infrastructure.research_catalog_io | research_catalog_checkout: {'symbols': 82, 'source_files': 82, 'feature_sets': 1, 'pattern_instances': 2026, 'pattern_bars': 40520, 'pattern_features': 0, 'forward_labels': 10130}
2026-07-10 12:45:27,955 | INFO | infrastructure.research_catalog_io | Promoted temp -> research master. master=C:\Users\Trader\AI-Agent-Learning-Hub\projects\P_300_Vantage_Point_Pattern_Recognition\models\research\bulk_research.db backup=C:\Users\Trader\AI-Agent-Learning-Hub\projects\P_300_Vantage_Point_Pattern_Recognition\models\research\bulk_research.db.bak
2026-07-10 12:45:27,960 | INFO | infrastructure.research_catalog_io | research_catalog_checkout: {'symbols': 82, 'source_files': 82, 'feature_sets': 1, 'pattern_instances': 2027, 'pattern_bars': 40540, 'pattern_features': 0, 'forward_labels': 10135}
2026-07-10 12:45:27,973 | INFO | infrastructure.research_catalog_io | Promoted temp -> research master. master=C:\Users\Trader\AI-Agent-Learning-Hub\projects\P_300_Vantage_Point_Pattern_Recognition\models\research\bulk_research.db backup=C:\Users\Trader\AI-Agent-Learning-Hub\projects\P_300_Vantage_Point_Pattern_Recognition\models\research\bulk_research.db.bak
2026-07-10 12:45:27,978 | INFO | infrastructure.research_catalog_io | research_catalog_checkout: {'symbols': 82, 'source_files': 82, 'feature_sets': 1, 'pattern_instances': 2028, 'pattern_bars': 40560, 'pattern_features': 0, 'forward_labels': 10140}
2026-07-10 12:45:27,999 | INFO | infrastructure.research_catalog_io | Promoted temp -> research master. master=C:\Users\Trader\AI-Agent-Learning-Hub\projects\P_300_Vantage_Point_Pattern_Recognition\models\research\bulk_research.db backup=C:\Users\Trader\AI-Agent-Learning-Hub\projects\P_300_Vantage_Point_Pattern_Recognition\models\research\bulk_research.db.bak
2026-07-10 12:45:28,004 | INFO | infrastructure.research_catalog_io | research_catalog_checkout: {'symbols': 82, 'source_files': 82, 'feature_sets': 1, 'pattern_instances': 2029, 'pattern_bars': 40580, 'pattern_features': 0, 'forward_labels': 10145}
